Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51298,8883,0,0,29200,40,0,26,0,0x40,0x154e,0x61f9,0x0002,0xa2b6
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51298,8883,0,0,29200,40,0,26,0,0x40,0x154f,0x61f8,0x0002,0x9ecc
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51298,8883,0,0,29200,40,0,26,0,0x40,0x1550,0x61f7,0x0002,0x96f6
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51298,8883,0,0,29200,40,0,26,0,0x40,0x1551,0x61f6,0x0002,0x874e
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3322,3663,7264,32,85,1,0,0x40,0x73d2,0xbf6e,0x0018,0x35d0
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x8926,0xee20,0x0002,0x8df1
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x8927,0xee1f,0x0002,0x8bfc
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x8928,0xee1e,0x0002,0x8812
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x8929,0xee1d,0x0002,0x803e
filtered_pcap\_TCP_Miscellaneous,87,20,64,6,54244,443,211,187,3632,32,35,5,0,0x40,0xa43f,0xa844,0x0018,0x37aa
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54244,443,246,218,3632,32,0,5,0,0x40,0xa440,0xa866,0x0010,0xdff3
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x892a,0xee1c,0x0002,0x7096
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3407,3764,7264,32,85,1,0,0x40,0x73d3,0xbf6d,0x0018,0xeea9
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51300,8883,0,0,29200,40,0,27,0,0x40,0x892b,0xee1b,0x0002,0x5146
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,3492,3764,7264,32,101,1,0,0x40,0x73d4,0xbf5c,0x0018,0x38ba
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3593,3849,7264,32,0,1,0,0x40,0x73d5,0xbfc0,0x0010,0x1fb7
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51302,8883,0,0,29200,40,0,28,0,0x40,0x80a3,0xf6a3,0x0002,0x4d4d
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51302,8883,0,0,29200,40,0,28,0,0x40,0x80a4,0xf6a2,0x0002,0x4b58
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51302,8883,0,0,29200,40,0,28,0,0x40,0x80a5,0xf6a1,0x0002,0x476e
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51302,8883,0,0,29200,40,0,28,0,0x40,0x80a6,0xf6a0,0x0002,0x3f9a
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51302,8883,0,0,29200,40,0,28,0,0x40,0x80a7,0xf69f,0x0002,0x2ff2
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3593,3950,7264,32,0,1,0,0x40,0x73d6,0xbfbf,0x0010,0xc14c
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3593,3950,7264,32,85,1,0,0x40,0x73d7,0xbf69,0x0018,0xf585
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c0d,0x0b3a,0x0002,0xde03
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c0e,0x0b39,0x0002,0xdc0e
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c0f,0x0b38,0x0002,0xd823
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c10,0x0b37,0x0002,0xd04f
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c11,0x0b36,0x0002,0xc0a7
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3678,4051,7264,32,85,1,0,0x40,0x73d8,0xbf68,0x0018,0x27f4
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51328,8883,0,0,29200,40,0,29,0,0x40,0x6c12,0x0b35,0x0002,0xa14f
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51330,8883,0,0,29200,40,0,30,0,0x40,0x567d,0x20ca,0x0002,0x6ba0
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51330,8883,0,0,29200,40,0,30,0,0x40,0x567e,0x20c9,0x0002,0x69ab
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51330,8883,0,0,29200,40,0,30,0,0x40,0x567f,0x20c8,0x0002,0x65c2
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51330,8883,0,0,29200,40,0,30,0,0x40,0x5680,0x20c7,0x0002,0x5dee
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,3763,4051,7264,32,101,1,0,0x40,0x73d9,0xbf57,0x0018,0xe940
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3864,4136,7264,32,0,1,0,0x40,0x73da,0xbfbb,0x0010,0xdb41
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51330,8883,0,0,29200,40,0,30,0,0x40,0x5681,0x20c6,0x0002,0x4e46
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,3864,4237,7264,32,0,1,0,0x40,0x73db,0xbfba,0x0010,0xbd4a
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3864,4237,7264,32,85,1,0,0x40,0x73dc,0xbf64,0x0018,0x59d7
filtered_pcap\_TCP_Miscellaneous,87,20,64,6,54244,443,246,218,3632,32,35,5,0,0x40,0xa441,0xa842,0x0018,0x015c
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54244,443,281,249,3632,32,0,5,0,0x40,0xa442,0xa864,0x0010,0xf51e
